,high-extension,high-overshoot,medium-extension,medium-overshoot,low,verylow,verylow-overshoot
1750,-0.07921387906991018,-0.07921387906991018,-0.07921387906991018,-0.07921387906991018,-0.07921387906991018,-0.07921387906991018,-0.07921387906991018
1751,-0.06783301623773179,-0.06783301623773179,-0.06783301623773179,-0.06783301623773179,-0.06783301623773179,-0.06783301623773179,-0.06783301623773179
1752,-0.05937638622110491,-0.05937638622110491,-0.05937638622110491,-0.05937638622110491,-0.05937638622110491,-0.05937638622110491,-0.05937638622110491
1753,-0.059278055568547934,-0.059278055568547934,-0.059278055568547934,-0.059278055568547934,-0.059278055568547934,-0.059278055568547934,-0.059278055568547934
1754,-0.046839599435685074,-0.046839599435685074,-0.046839599435685074,-0.046839599435685074,-0.046839599435685074,-0.046839599435685074,-0.046839599435685074
1755,-0.07425354618544691,-0.07425354618544691,-0.07425354618544691,-0.07425354618544691,-0.07425354618544691,-0.07425354618544691,-0.07425354618544691
1756,-0.0902004472846119,-0.0902004472846119,-0.0902004472846119,-0.0902004472846119,-0.0902004472846119,-0.0902004472846119,-0.0902004472846119
1757,-0.06702960688953585,-0.06702960688953585,-0.06702960688953585,-0.06702960688953585,-0.06702960688953585,-0.06702960688953585,-0.06702960688953585
1758,-0.05697154103287715,-0.05697154103287715,-0.05697154103287715,-0.05697154103287715,-0.05697154103287715,-0.05697154103287715,-0.05697154103287715
1759,-0.052386885574067794,-0.052386885574067794,-0.052386885574067794,-0.052386885574067794,-0.052386885574067794,-0.052386885574067794,-0.052386885574067794
1760,-0.04576102931972005,-0.04576102931972005,-0.04576102931972005,-0.04576102931972005,-0.04576102931972005,-0.04576102931972005,-0.04576102931972005
1761,-0.04679496081537982,-0.04679496081537982,-0.04679496081537982,-0.04679496081537982,-0.04679496081537982,-0.04679496081537982,-0.04679496081537982
1762,-0.04808361557497472,-0.04808361557497472,-0.04808361557497472,-0.04808361557497472,-0.04808361557497472,-0.04808361557497472,-0.04808361557497472
1763,-0.131380546798251,-0.131380546798251,-0.131380546798251,-0.131380546798251,-0.131380546798251,-0.131380546798251,-0.131380546798251
1764,-0.15362727834107173,-0.15362727834107173,-0.15362727834107173,-0.15362727834107173,-0.15362727834107173,-0.15362727834107173,-0.15362727834107173
1765,-0.12783105147011387,-0.12783105147011387,-0.12783105147011387,-0.12783105147011387,-0.12783105147011387,-0.12783105147011387,-0.12783105147011387
1766,-0.1083766762707974,-0.1083766762707974,-0.1083766762707974,-0.1083766762707974,-0.1083766762707974,-0.1083766762707974,-0.1083766762707974
1767,-0.08226624482970513,-0.08226624482970513,-0.08226624482970513,-0.08226624482970513,-0.08226624482970513,-0.08226624482970513,-0.08226624482970513
